id,priority,area,function,action,test_data,source_row
1,High,Site,Cookie > Accept,Accept Cookie,,6
2,Medium,Site,Cookie > Manage Cookie,Toggle options On/Off and confirm selection and Cookie,,7
3,High,Header,Country Selector,"Change to different Country (ideally a dual/tri lingual site like ME, BE or CH)",,8
4,High,Header,Country Selector,"Once changed to dual/tri lingual site, change Locale (language)",,9
5,High,Header,Sign In,Sign In as registered user,,10
6,High,Header,Sign Out,Sign out as registered user,,11
7,High,Header,Create an Account,Register as a User,,12
8,High,Header,Basket Icon,Click to navigate to Basket page,,13
9,High,Menu,Epson Logo,Click to navigate to homepage,,14
10,Medium,Menu,Menu Links,"Ensure all Menu Links (at Parent, Child and Sub child level) point to a page and do not display Error 404, Server Error etc or redirect back to homepage",,15
11,High,Homepage,Content,Homepage renders correctly and Amplience/Smartedit components created can be scrolled and interacted with,,16
12,Medium,Footer,Epson Registration,User can complete registration for ECRM/Marketing purposes,,17
13,Low,Footer,Social Media Links,Clicking Links redirect User to the correct social media platform,,18
14,Low,Footer,Footer Links,"Ensure Footer Links point to a page and do not display Error 404, Server Error etc or redirect back to homepage",,19
15,Medium,Search,Search via SOLR,Search Bar displayed and user able to enter Text,,20
16,Medium,Search,Search via SOLR,Matches displayed Left side for Keyword suggestions and Right side for Product suggestions,,21
17,Medium,Search,Search via SOLR,Clicking Keyword suggestion displays PLP page with matches similar to search criteria,,22
18,Medium,Search,Search via SOLR,Clicking Product suggestion displays PDP page for product,,23
19,Medium,Search,Search via SOLR,Close Search,,24
20,High,Search,Search via Attraqt,Search Bar displayed and user able to enter Text,,25
21,High,Search,Search via Attraqt,Matches displayed Left side for Keyword suggestions and Right side for Product suggestions,,26
22,High,Search,Search via Attraqt,Clicking Keyword suggestion displays PLP page with matches similar to search criteria,,27
23,High,Search,Search via Attraqt,Clicking Product suggestion displays PDP page for product,,28
24,High,Search,Search via Attraqt,Close Search,,29
25,High,PLP,Attraqt Facets,"Ensure the various facets available when using Attraqt still work as expected e.g. Sliders, input boxes, radio filters, checkbox filters",,30
26,High,PLP,Remove Facets,Remove some selected filters from the Left Hand panel and ensure results are updated accordingly,,31
27,High,PLP,Reset Filters,Click on 'Reset' to ensure all filters are removed and ensure results are updated accordingly,,32
28,Medium,PLP,Click on Printers > Inkjet > Consumer from the main menu,"Once page loads, click on 3rd level breadcrumb option to ensure breadcrumb is correct",,33
29,Medium,PLP,Click on Printers > Inkjet > Consumer from the main menu,"Once page loads, click on 2nd level breadcrumb option to ensure breadcrumb is correct",,34
30,Medium,PLP,Click on Printers > Inkjet > Consumer from the main menu,"Once page loads, click on 1st level breadcrumb option to ensure breadcrumb is correct",,35
31,High,PLP,Product Listing,"Ensure highlights, images, prices, currency symbol, Vat Incl. and Excl. are displayed",,36
32,High,PLP,Product Listing,Ensure when Promotions are applied they are shown in PLP page as Strike Through's,,37
33,High,PLP,Product Listing,Ensure when Referrer Promotions are applied they are shown in PLP page as Strike Through's,,38
34,High,PLP,Product Listing,"Stock Label for ""In stock"" is shown with the 'Buy Now' button",,39
35,High,PLP,Pagination,"Click on Next, Previous",,40
36,High,PLP,Sort By,"Sort by Newest, Higher etc",,41
37,High,PLP,Sort By,Click on 'Learn More' for a Product,,42
38,High,PLP,Sort By,Click on 'Find a Dealer' for a Product,,43
39,High,PLP,Sort By,Click on 'Request Callback' for a Product,,44
40,High,PLP,Sort By,Click on 'ReadyPrint' link for a Product,,45
41,High,PLP,Add to Compare,Compare 2 or 3 Products,,46
42,High,PLP,Add to Compare,Remove from Compare List,,47
43,High,PLP,Add to Compare,Click on 'Learn More' for a Product,,48
44,High,PLP,Add to Compare,Click on 'Find a Dealer' for a Product,,49
45,High,PLP,Add to Compare,Click on 'Request Callback' for a Product,,50
46,High,PLP,Add to Compare,Click on 'Support' for a Product,,51
47,High,PLP,Add to Compare,Click on Print,,52
48,High,PLP,Add to Compare,Go back to Listings,,53
49,High,PLP,Add to Compare,Hide Compare Box,,54
50,High,PLP,Quick View,Ensure clicking on 'Quick View' displays details as per PDP page including Buy Box features,,55
51,High,PLP,Badges,Ensure that Badges images can be assigned to a Product and viewed on a PLP,,56
52,High,PDP,Awards,Ensure that Award images can be assigned to a Product and viewed on a PDP,,57
53,High,PDP,Badges,Ensure that Badges images can be assigned to a Product and viewed on a PDP,,58
54,High,PLP,Discontinued,Check to ensure Discontinued products do not show in the PLP page,,59
55,High,SLP,Discontinued,Check to ensure Discontinued products are displayed in the SLP page,,60
56,High,PDP,Discontinued,Check to ensure PDP page for a Discontinued product shows limited information,,61
57,High,PDP,CTA Logic,"Check to ensure the PDP pages display the correct CTA's for:
Buy Now - Available to Purchase
Request Callback - Not Available to Purchase & Request Callback = True
Find a Dealer - Discontinued = true & Not Available to Purchase
Notify me when available - Available to Purchase & Stock level <=0
Stop notifying me - Option available when 'Notify me when available' is selected
Learn More - 
Buy Online - 
Where to Buy - 
Find a Repair Centre - Discontinued = true & Not Available to Purchase",,62
58,High,PDP,Product Details Page,"Ensure Heading Title, Subheading tile, overview text, SKU, Stock Labels, gallery, prices, currency symbol, Vat Incl. and Excl. are displayed",,63
59,High,PDP,Product Details Page,Ensure when Promotions are applied they are shown in PDP as Strike Through's,,64
60,High,PDP,Product Details Page,Ensure when Referrer Promotions are applied they are shown in PDP as Strike Through's,,65
61,High,PDP,Product Details Page,Click on 'Find a Dealer',,66
62,High,PDP,Gallery,"Ensure the Product Gallery images and carousels can be zoomed in, viewed and scrolled",,67
63,High,PDP,Buy Box,Ensure CoverPlus can be added to the Basket from the Buy Box section using the Checkboxes and clicking on 'Buy Now',,68
64,High,PDP,Buy Box,Ensure Mains product can be added to the Basket from the Buy Box section by clicking on 'Buy Now',,69
65,High,PDP,Buy Box,Ensure Support page for Mains product can be accessed by clicking on the Support link,,70
66,High,PDP,Buy Box,Verify if Badges/Banners are setup they are showing against the product within the Buy Box,,71
67,Medium,PDP,Buy Box,Verify if colour variants are setup they are showing against the product within the Buy Box and clicking on them takes the user to the relevant PDP page,,72
68,High,PDP,Product Details Page,Click on 'Request Callback',,73
69,Medium,PDP,Product Details Page,Click on 'ReadyPrint' link,,74
70,High,PDP,Product Details Page,"Stock Label for ""In stock"" is shown with the 'Buy Now' button",,75
71,High,PDP,Anchor Bar,"Ensure Anchor bar links for 'Overview', 'Tech Specs', Accessories, 'Support' jump to correct section on PDP page",,76
72,High,PDP,Anchor Bar,Ensure Anchor bar updates to show section User is on when scrolling down,,77
73,High,PDP,Anchor Bar,Ensure Anchor bar sticks to the top of the page when User is scrolling down,,78
74,High,PDP,What's in the Box,Ensure the 'What's in the Box' section is displayed when User is scrolling down,,79
75,High,PDP,Tech Specs,Ensure all +/- accordion buttons in Tech Spec work and expand and collapse sections correctly,,80
76,High,PDP,Accessories,Ensure accessories can be added to the Basket from the 'Consumables' tab,,81
77,High,PDP,Accessories,Ensure accessories can be added to the Basket from the 'Media' tab,,82
78,High,PDP,Accessories,Ensure accessories can be added to the Basket from the 'Ext. with Cover+' tab,,83
79,High,PDP,Accessories,Ensure accessories can be added to the Basket from the 'Options' tab (available for Projectors etc),,84
80,High,PDP,Support,Ensure Support displays Recommended Links for Product,,85
81,High,PDP,Support,Click on 'Go to Support' - Takes you to the Support page for the selected Product,,86
82,High,PDP,Support,Click on 'Drivers & Software' - Takes you to the Downloads section on Support page for the selected Product,,87
83,High,PDP,Support,Click on 'FAQ's' - Takes you to the FAQ's section on Support page for the selected Product,,88
84,High,PDP,Support,Click on 'Manuals & Documentation' - Takes you to the Manuals & Documentation section on Support page for the selected Product,,89
85,High,PDP,Support,Click on 'Repairs Services' - Takes you to the Contact Us section on Support page for the selected Product,,90
86,High,Add Consum. & Access.,Accessories,"From PDP page, click on the 'Buy Now' button to display Add Consum. & Access. page",,91
87,High,Add Consum. & Access.,Accessories,Click on 'Go To Checkout' button,,92
88,High,Add Consum. & Access.,Accessories,Ensure Accessories can be added using the Qty and 'Buy Now' buttons,,93
89,High,Add Consum. & Access.,Accessories,Ensure CoverPlus can be added using the Qty and 'Buy Now' buttons,,94
90,High,Basket,Basket,Click on the 'Continue Shopping' button,,95
91,Medium,Basket,PDP,"Ensure user can click on PDP page, by clicking on Product Name",,96
92,High,Basket,Cover+ Sell On,Ensure user can add Cover+ products for their mains item from the Basket page,,97
93,High,Basket,Basket,Ensure User can Delete Line Items,,98
94,High,Basket,Basket,Ensure Prices are displayed Incl. of VAT,,99
95,High,Basket,Basket,"Ensure for Products with Promotions applied to them, Promotional Prices are shown",,100
96,High,Basket,Basket,Ensure User can increase/decrease Line Items,,101
97,High,Basket,Basket,Ensure Totals are correct and adjusted accordingly when Qty is changed,,102
98,High,Basket,Basket,Ensure a Valid Amount based voucher can be redeemed and adjusts price accordingly,,103
99,High,Basket,Basket,Ensure a Valid Percentage based voucher can be redeemed and adjusts price accordingly,,104
100,High,Basket,Basket,Ensure Vouchers can be removed from the Basket adjusts price accordingly,,105
101,High,Basket,Wishlist,Ensure items added to the Wishlist can be added to the Basket,,106
102,High,Basket,Wishlist,Ensure items added to the Wishlist can be removed from the Wishlist,,107
103,High,Basket,Wishlist,"Ensure user can view the Product PDP page, by clicking Wishlist item",,108
104,High,Checkout,Delivery,Ensure user is able to auto populate an Address using Loqate Post Code finder,,109
105,High,Checkout,Delivery,Ensure user is able to insert an Address manually,,110
106,High,Checkout,Delivery,Ensure validation is displayed when mandatory fields are left empty,,111
107,High,Checkout,Collection - UPS Access Point,"Check to ensure a User is able to complete an Order by:

. Selecting the 'Collection' option
. Entering a Post Code relevant to the Country and clicking on 'Choose Access Point'
. With the popup displayed, user is able to click on the 'Select' button to choose an Access Point
. Ensure that once an Address is chosen, as you progress through Checkout, the right hand panel displays the UPS Access Point ID e.g. UPS Access Point ID: U26980338 all through to the Order Confirmation page",,112
108,High,Checkout,Collection - UPS Access Point,Ensure validation is displayed when mandatory fields are left empty,,113
109,High,Checkout,Shipping Method,Choose a shipping method from drop down list,,114
110,Medium,Checkout,Shipping Method,Set 'Use my shipping address' to TRUE,,115
111,Medium,Checkout,Shipping Method,Set 'Use my shipping address' to FALSE,,116
112,High,Checkout,Shipping Method,Ensure user is able to auto populate an Address using Loqate Post Code finder,,117
113,High,Checkout,Shipping Method,Ensure user is able to insert an Address manually,,118
114,High,Checkout,Shipping Method,Ensure validation is displayed when mandatory fields are left empty,,119
115,High,Checkout,Payment Method - Credit Card,"Using Credit Card details from the 'Payment Info' tab, complete Orders using various Credit Cards e.g. VISA, AMEX, Mastercard, Bancaire (FR), Dankort (DK)",,120
116,High,Checkout,Payment Method - Tokenisation,"Using tokenisation details from the 'Payment Info' tab, complete Orders using various Credit Cards e.g. VISA, AMEX, Mastercard, Bancaire (FR), Dankort (DK)",,121
117,High,Checkout,Payment Method - PayPal,"If available, using PayPal details from the 'Payment Info' tab, complete Orders using country specific PayPal account",,122
118,High,Checkout,Payment Method - Klarna,"If available, using Klarna details from the 'Payment Info' tab, complete Orders using country specific Klarna account",,123
119,High,Checkout,Payment Method - DotPay,"If available, using Dotpay details from the 'Payment Info' tab, complete Orders using country specific Dotpay account",,124
120,High,Checkout,Payment Method - GiroPay,"If available, using Giropay details from the 'Payment Info' tab, complete Orders using country specific Giropay account",,125
121,High,Checkout,Payment Method - Ideal,"If available, using iDeal details from the 'Payment Info' tab, complete Orders using country specific iDeal account",,126
122,High,Checkout,Payment Method - Blik,"If available, using Blik details from the 'Payment Info' tab, complete an Order for PL using Blik",,127
123,High,Checkout,Payment Method - Sofort,"If available, using Sofort details from the 'Payment Info' tab, complete Orders using country specific Sofort account",,128
124,High,Checkout,Payment Method - Trustly,"If available, using Trustly details from the 'Payment Info' tab, complete Orders using country specific Trustly account",,129
125,High,Checkout,Final Review,Attempt to place an Order without setting T&C checkbox to TRUE,,130
126,High,Checkout,Final Review,Ensure all information within Order Summary is correct,,131
127,Medium,Checkout,Final Review,Click on Product Name to view product PDP page,,132
128,High,Checkout,Order Confirmation,Ensure Order Confirmation No. and Date of Order is shown,,133
129,High,Checkout,Order Confirmation,Ensure all details displayed match those entered during Checkout,,134
130,High,Checkout,Order Confirmation,Ensure Prices are displayed Incl. of VAT,,135
131,High,Checkout,Order Confirmation,"Ensure for Products with Promotions applied to them, Promotional Prices are shown",,136
132,High,Checkout,Order Confirmation,Ensure Totals are correct and match those in Final Review section,,137
133,Medium,Checkout,Order Confirmation,Click on Product Name to view product PDP page,,138
134,Medium,Checkout,Order Confirmation,Click on Print button,,139
135,Medium,Checkout,Order Confirmation,Click on 'Return to Store' button,,140
136,High,Checkout,ASM Agent,Ensure that an ASM Agent can complete an Order on behalf of a Registered Customer,,141
137,High,Checkout,ASM Agent,Ensure that an ASM Agent can complete an Order on behalf of a Guest Customer,,142
138,High,Orders,Registered Users,Check to ensure that a Registered User can place a Normal Order,,143
139,High,Orders,Registered Users,Check to ensure that a Registered User can place an Order containing a Promotion,,144
